Japanese,English
巻狩,Makigari (Hunting session)
物集女,Mozume
百錬,Hyakuren
智礼,Zhili
大師堂,Daishi-do Hall (hall for the Great Teacher)
紙本墨画将軍塚絵巻,Shihon-Bokuga-Shogun zuka-emaki
源仲章,MINAMOTO no Nakaakira
大宮院西園寺姞子,Omiyain Kitsushi SAIONJI
浪士,roshi 
明神鳥居（みょうじんとりい）,myojin torii
一条昭良(昭良),Akiyoshi ICHIJO
異母弟,younger paternal half-brother
鎌倉大番役,Kamakura Obanyaku
大涅槃経,Dainehan-kyo Sutra
菊文様,Chrysanthemum motif
御室川,Omuro-gawa River
飛鳥流,Asuka-ryu school
平安王朝,the Heian dynasty
洋画コース,Oil Painting Course
奥平家,the Okudaira family
御霊法会,a religious service for the spirit of the dead
京都市立上高野小学校,Kyoto Municipal Kamitakano Shogakko (Elementary School)
後藤一乗,Kazunori GOTO
シテ,"Shite (main actor, protagonist)"
若紫,Wakamurasaki
邪神,an evil god
小笠原流礼法,cult of Ogasawara school
区役所,a ward office
尾州竹林流,Bishu-Chikurin-ryu school
真言宗の僧,a monk of Shingon sect
曲屋,Magariya
国土庁,National Land Agency
別子銅山,Besshidozan Copper mine
上野氏,the Ueno clan
新盆,Shinbon / Niibon / Arabon
時の将軍,Shogun of the period
池上氏,IKEGAMI
巡行,parade
けぶりの後,Keburi no Ato (After smoke)
兎桐,usagi-giri (a rabbit-like paulownia)
観月橋,Kangetsu-kyo Bridge
東福寺修正看経榜,Tofuku-ji Shusei Kankinbo
田中美悠,Miyu TANAKA
田辺地区,Tanabe area
神宝線,Jinpo-sen (Jinpo Line)
用度課,Supply Division
富士見町,Fujimi-cho Town
善観,Zenkan
国際奈良学セミナーハウス,Nara International Seminar House
六条斎院（禖子内親王）歌合,Rokujosanin (Baishi Empress) Uta-awase
客分,guest
丸太棒,log
西桝屋町,Nishi-Masuya-cho
弘安徳政,koan-tokusei (political reforms in Koan era)
祥雲寺,Shoun-ji Temple
十返舎一九,Ikku JUPPENSHA
床ガマチ,flooring frame
サークルKサンクス松ヶ崎駅前店,the Circle K Sunkus store in front of Matsugasaki Station
淡路駅,Awaji Station
細見村,Hosomi-mura
淀川区,Yodogawa Ward
出挙（すいこ）,suiko
お札まき,Ofudamaki (to strew the paper charm)
重ね袿,"kasane-uchiki, a series of brightly coloured unlined robes"
柴田勝政,Katsumasa SHIBATA
農林省,Ministry of Agriculture and Forestry
智慶院,Chikei-in
飾り金具,kazari-kanagu (decorative metal fixtures)
京都駅コーナー,Kyoto Station Store
地車（だんじり・だんぢり),"decorative portable shrine, float used in festivals"
最嶽元良像,Saigaku Genryo
親王二品。,Nihon (second class) of Shino (Imperial prince).
臥雲（がうん）の庭,Gaun no niwa-garden
能阿弥,Noami
前田利常,Toshitsune MAEDA
ドゥルガー,Durga
小天橋海水浴場,the Shotenkyo sea-bathing beach
造酒正,miki no kami 
氏家氏,the Ujike clan
抹茶アイスクリーム,ice cream with powdered green tea
大宗正統禅師,Taisoseitozenshi
彼岸,equinoctial week when Buddhist services are held
初名を正勝,"first named ""Masakatsu"""
宜秋門,Gishu Gate
竹取物語,Taketori Monogatari (The Tale of the Bamboo Cutter)
奈良県吉野地方,"Yoshino region, Nara Prefecture"
亀岡市支店,Kameoka City Branch
盆略点,bonryaku-date　（bonryaku-type service)
日本の肖像彫刻,image statues in Japan
産経新聞,the Sankei Shimbun
明融,Meiyu
平田和尚,Priest Hirata
キンシ正宗株式会社,"Kinshi-masamune Co., Ltd"
波多野義通妹,Younger sister of Yoshimichi HATANO
伊勢貞興,Sadaoki ISE
京都府立医科大学図書館,the Library of Kyoto Prefectural University of Medicine
中西君尾,Kimio NAKANISHI
中川宮朝彦親王（尹宮）,Imperial Prince Nakagawa no miya Asahiko
早雲庵宗瑞,Soun-An-Sozui
京極為兼,Tamekane KYOGOKU
高杉晋作,Shinsaku TAKASUGI
皇親,Koshin (Emperor's family)
工業化学専攻,Applied Chemistry
菊池恭二,Kyoji KIKUCHI
愛宕山,Mt. Atago
松ヶ崎浄水場,Matsugasaki Purification Plant
三条公爵家,the Prince House of Sanjo
源親治,MINAMOTO no Chikaharu
懐石弁当,Kaiseki Bento
雉股（きじもも）形,pheasant thigh shape
三浦休太郎,Kyutaro MIURA
講義,lecture
盛算（じょうさん）,Josan
鏡像,kyo-zo
丹波送り火,Tanba Farewell Fires
赤井時家,Tokie AKAI
塩梅,Anbai melisma
冠の形式,the form of the headdress
中西夏奈子,Kanako NAKANISHI
養泉寺,Yosen-ji Temple
菖蒲若,Ayawaka
九条通上ル,Kujo-dori agaru
北大路橋,Kitaoji-bashi Bridge
海北友松,Yusho KAIHO
旁書,commentary
尼君,nun
平氏一族,Heishi (Taira clan)
八幡の戦線,Yawata battle line
名声,fame (a reputation)
生立ちと遍歴,background and love affairs
長岡市悠久山野球場,"Yukyuzan Baseball Stadium, Nagaoka City"
阿仏尼,Abutsuni 
留守政府,Rusu-seifu (government while heads of government are away)
神功皇后,Empress Jingu
隠居永蟄居,abdication and life incarceration (Inkyo eichikkyo)
玉室宗珀,Sohaku GYOKUSHITSU
和歌俳諧,Waka Haiku
源氏絵,Genjie Painting
但馬守源頼光,"MINAMOTO no Yorimitsu, Governor of Tajima Province"
表参道,Omote-sando
貞勝,Sadakatsu
水沢（すいざわ）茶,Suizawacha
師号,titles given from the Imperial Court to high ranking priests
征長軍参謀,Sambo of Seicho-gun (conquering army of Choshu)
顆,grain
京都商工クラブ会長,Chairperson of the Kyoto Commerce and Industry Club
立木信号場,Tachiki signal station
左少将 (=左近衛少将),Sashosho/Sakone no shosho (Minor Captain of the Left Division of Inner Palace Guards)
封建時代,feudal period
国家事業,national project
茅野局,Kayano-tsubone
長尾氏,Nagao clan
寺町通り荒神口上ル,Teramachi-dori Kojinguchi Agaru
丸大,Marudai
ご来光,the rising sun
三好軍,Miyoshi's army
他宗攻撃,onrush of other religions
紙本著色病草紙,Shihon Choshoku Yamainososhi (Diseases and Deformities)
桐紋,Kiri-mon (paulownia patterns)
寛徳,Kantoku era
神楽,ancient Shinto music and dancing
島津立久,Tatsuhisa SHIMAZU
桃山城,Momoyama-jo Castle
平山城,Hirayama-jo Castle (castles built on a hill in a plain)
大酒神社,Osake-jinja Shrine
坊門俊輔,Toshisuke BOMON
寄棟造単層,one-story Yosemune-zukuri (style of roof structure)
少禄,a small stipend
引揚桟橋,Hikiage-sanbashi
一座宣下,Ichiza-senge(imperial proclamation of the highest rank)
藤原有国,FUJIWARA no Arikuni
複合材料研究センター,Research and Development Center for Composite Materials
地割,allocation of space (parceling out of space)
宮崎県,Miyazaki Prefecture
千本花屋町,Sembon-Hanayacho
太鼓奏者,a drummer
清氏討伐,subjugation of Kiyouji
秦公寺,Hatanokimi-dera
安祥城,Ansho-jo Castle
藤原基経,FUJIWARA no Mototsune
可翁宗然,Sonen KAO
琴引浜鳴き砂文化館,Kotobikihama Singing-sand Heritage Center
将軍候補,candidate for the shogun
法音寺,Hoon-ji Temple
執事職,steward
肝煎,sponsorship
除夜の鐘,"bell ringing out the old year, the bells on New Year's Eve, watch-night bell"
柿（こけら）葺き,roofed with shingles
八戸藩南部遠江守信順,Nobuyuki Totoumi no kami NANBU of the Hachinohe Domain
巡洋戦艦,battle cruiser
西明寺,Saimei-ji Temple
坊城家,the Bojo family
致仕太政大臣,resigned Grand Minister
復興需要,increased demand due to revival
清海曼荼羅,Seikai mandala
尾張清洲城,Owari Kiyosu-jo Castle
勝山髷,Katsuyama mage
アニメーション学科,Department of Animation
大・少主鑰,Dai/Sho shuyaku
徒罪,imprisonment
陣屋,jinya 
鎌倉の光明寺,Komyo-ji Temple in Kamakura
三嶋大社,Mishima-taisha Shrine
下々条,Shimo-Gejo
忍甲流,Ninko-ryu school
親ソ的,pro-Soviet Union
バンクロフト糸状虫,Wuchereria bancrofti
精華くるりんバス,Seika Kururin Bus
九段,Kudan
反り橋,soribashi 
坂田郡石田村,"Ishida-mura, Sakata-gun"
北野線常盤駅,"Tokiwa Station, Kitano Line"
荘子女王,Princess Soshi
三略,Sanryaku (an ancient Chinese strategy book)
綿いれ,wadded clothes (padded clothes)
保津川下り,Hozu-gawa River Boat Ride
陶芸家,ceramic artist
封建勢力,feudatory power
奈良・元興寺（奈良市芝新屋町）像,"the statue at the Ganko-ji Temple in Nara (Shibanoshinya-cho, Nara City)"
銅板経残闕,bonze plate Kyo zanketsu (incomplete remains of sutra)
尾畑雁多（おばたかりんど）,OBATA Karindo
焼き団子,scorched dumplings
源頼光,MINAMOTO no Yorimitsu
ワシントン海軍軍縮条約,Washington Naval Treaty
お茶席,tea ceremony
仏涅槃図,Butsu Nehan-zu
疫病神,"Yakubyo-gami, a deity of the transmission of epidemics"
頼山陽撰,Sanyo RAI's selection
竹川町家,Takekawa-cho
青木周弼,Shusuke AOKI
身請け金,ransom money
藤原明衡,FUJIWARA no Akihira
五条線,Gojo Line
赤い守り紐,red lucky charm code
藤原有家,FUJIWARA no Ariie
教団,religious community
義太夫狂言,Gidayu Kyogen (comic drama)
八幡鳥居,Hachiman torii
香川県庁舎,the Kagawa prefectural office building
袈裟状の格子模様,surplice shape lattice pattern
木心乾漆造,mokushin kanshitsu-zukuri
三宝荒神社,Sanpoko-jinja Shrine
羽織,haori (a Japanese half-coat)
墨俣の陣,Sunomata armed camp
呪力,magically signified power
盛美園,Seibi-en garden
賀茂忠行,KAMO no Tadayuki
大江新太郎,Shintaro OE
飯井駅,Ii Station
備前の福岡一文字派,Fukuoka Ichimonji group of Bizen
志岐,Shiki
白石正一郎,Shoichiro SHIRAISHI
角屋,Sumiya (a restaurant where high-class harlots and geisha dispatched from a geisha house entertained the guests)
軍人勅諭,the Imperial Rescript to Soldiers and Sailors
三好元長,Motonaga MIYOSHI
霊鑑寺,Reikan-ji Temple
儀礼問題,Eiplomatic Protocol
小口大八,Daihachi OGUCHI
細川氏,Hosokawa clan
天竺部,Tenjiku (India) section
桓武天皇朝,Kanmu Emperor'a period
東京花祭り（東久留米市）,Tokyo Flower Festival (Higashi-Kurume City)
チャクラ,chakra
佐々木蔵之助,Kuranosuke SASAKI
藤原懐子,FUJIWARA no Kaishi
永享の乱,"Eikyo no Ran, Eikyo Rebellion"
尼崎,Amagasaki
戸襖仕立て,Tofusuma door making
おうす,ousu
妙慶寺,Myokei-ji Temple
蝉の抜殻,a locust's empty shell
圓教寺陵（えんきょうじのみささぎ）。,Enkyo-ji no misasagi
富士ステークス,the Fuji Stakes
正親町天皇,Emperor Ogimachi
若菜　上,Wakana (Spring Shoots I)
東京高等師範学校,Tokyo Higher Normal School
室町水墨画,Muromachi-Suiboku-ga
治仁王,Prince Haruhito
松平頼胤,Yoritane MATSUDAIRA
インディアナ,Indiana
勘解由長官,Kageyu no kami (chief investigator of the records of outgoing officials)
幸西,Kosai
安土,Azuchi
平定,subdual
安達が原（あだちがはら）,ADACHIGAHARA
時平,Tokihira
淀下津町,Yodo-shimozu-cho
木造仏,wooden Buddha
実物（国宝）,genuine article (national treasure)
長崎,Nagasaki
市川雷蔵,Raizo ICHIKAWA
三ノ鼓,Santsuzumi drum
近衛大路,Konoe Oj
邦治親王,Imperial Prince Kuniharu
マンガプロデュース学科,Department of Manga Production
入府,Nyufu
滝山川,Takiyama-gawa River
京都府道35号大津淀線,"Otsu-Yodo-sen, Kyoto Fudo 35 (Kyoto Prefectural Road 35)"
モーラ数,number of mora
勅撰集,Chokusenshu
上紋,upper design
閉門,house confinement
亀井家,the Kamei family
近鉄西大寺検車区,Kintetsu Saidaiji train depot
国際捕鯨委員会,the International Whaling Commission
清滝バス停,Kiyotaki bus stop
宇留満乃日記,Uruma no Nikki Diary
宇陀松山藩,the Uda-Matsuyama Domain
射法制定委員,shaho-seitei-iin (constitution committee of shooting an arrow)
河上肇文庫,Kawakami Hajime Bunko (Hajime Kawakami Library)
嵐山駅はんなり・ほっこりスクエア,Arashiyama Station Hannari-Hokkori Square
近臣,trusted vassal
後見,koken
普賢延命像,portrait of Samantabhadra
吹田,Suita
尊勝曼荼羅,Sonsho Mandala
大原宮,Ohara no miya
薫,Kaoru
前枢密院議長,former chairman of Privy Council
太平楽,"Taiheiraku, program"
八幡流,Yahata-ryu school
院執権,innoshikken
大丞相,Daijosho
立久恵線,Tachikue Line
直江廣治氏,Koji NAOE
活版印刷,movable type
弥仁王,Prince Iyahito
まくわうり,Oriental Melon
多肉植物,succulent plant
千宗守,Soshu SEN
葦屋浦の戦い,the Battle of Ashiyaura
一指斎,ISSHISAI
大田田根子,Taneko OTA
特産物,a local specialty
山端（現在の宝ヶ池） (駅),Yamabana (Takaragaike) Station
仏世界,Buddha's world
山城土一揆,the uprising in Yamashiro Province
松尾勝彦,Katsuhiko MATSUO
石州流林泉寺派,Rinsenji-ha group of Sekishu school
関西医科大学,Kansai Medical University
神泉苑,Shinsenen
仏立講,Butsuryu-ko
大谷光暢,Kocho OTANI
吉田家,the Yoshida family
一遍上人絵伝,Ippen Shonin Eden (Pictorial biography of the monk Ippen)
醍醐駅,Daigo Station
寛徳の荘園整理令,Kantoku Decree Restricting the Expansion of Private Estates
京都市営地下鉄烏丸線松ヶ崎駅,Kyoto City Subway Karasuma Line Matsugasaki Station
宇多源氏佐々木氏,Sasaki clan of Uda-Genji (Minamoto clan)
紙本墨画高僧像,Shihon-Bokuga-Koso-zo
最大級の寺院,the largest temple
高津川,Takatsu-gawa River
四印会,Shiin-e
章子女王,Princess Ayako
難波支流,Side line of Nanba
竟宴,party after poetry's selection
飛鳥・天平時代,Asuka and Tenpyo ｐeriods
新千載和歌集,"""Shin-senzai Wakashu"""
浄妙山,"Jomyo yama (decorative float depicting a historic event when a monk warrior, Hoshi ICHIRAI, leaped over a monk warrior of the Mii-dera Temple, Jyomyo, on the Uji Bridge to lead the vanguard at the Uji River Battle)"
白川静,Shizuka SHIRAKAWA
真言宗密教,"Tantric Buddhism, Shingon-shu sect"
Suica,Suica Card
甲府藩,the Kofu domain
最雲法親王,Cloistered Imperial Prince Saiunho
割れしのぶ,wareshinobu
唐令拾遺,Torei Shui (Collected Laws in the Tang dynasty)
復古主義,reversionism
金沢駅,Kanazawa Station
菱川,Hishikawa
太陽太陰暦,lunisolar calendar
無常,absence of absolutes
反故紙,wastepaper
尾張国郡司百姓等解文,Owari no kuni (Owari Province) Gunji (a local government official) Hyakusho (farmers) ra no Gebumi (letter)
鶴松,Tsurumatsu
三田駅,Sanda Station
乙吉,Otoyoshi
縫殿権助,Nuidono Gon no suke (Provisional Assistant Director in the Bureau of the Wardrobe and Court Ladies)
光背,halo
華北,North China; Huabei
上総前司,the former governer of Kazusa
藤原済時,FUJIWARA no Naritoki
駆動軸,drive shaft
与謝郡加悦町,Kaetsu-cho Yosa-gun
儀式,a ceremony
六角氏討伐,subjugation of Rokkaku family
仏陀波利,Buddhapali
カンタブリア州,Cantabria Province
道祖王,Funado no Okimi
四鏡,Shikyo
長崎氏,Nagasaki clan
龍谷大学付属平安中学校・高等学校,Ryukoku University Heian Junior High School and High School
興教大師,Kogyo Daishi
左衛士大尉,Saeji no daijo (Senior Lieutenant of the Left Guards)
伴清縄,Kiyotada TOMONO
甲冑,armor
褒ジ,Hoji
今出川幼稚園,Imadegawa Kindergarten
阿含経,Agon-kyo Sutra
をかし,"Wokashi, Japanese sentiment theory"
氏子,shrine parishioner
修証義,Shushogi Sutra
徳大寺公純,Kinito TOKUDAIJI
桜川,Sakuragawa
JR西日本嵯峨野線（山陰本線）,JR West Sagano Line (Sanin Main Line)
天神社,Ten-jinja Shrine
円町駅,Enmachi Station
西中島南方駅,Nishinakajima-Minamigata Station
職源鈔,Shokugensho (history of government services)
大谷暢顕,Choken OTANI
八村,Hachi-mura
三千世界,"Sanzen Sekai, the universe, the whole world"
孝子,dutiful children
京焼の幕末三名人,one of the three masters of Kyo ware of the late shogunate period
広隆寺旧講堂,"Koryu-ji Temple kyu-kodo, Koryu-ji Temple old Lecture Hall"
灌頂の戒師,Kanjo-no-Kaishi monk
皇學館大学,Kogakkan University
内宮皇大神社,Naiku Kotai-jinja Shrine
脇侍善財童子,Kyoji Zenzai Doji
日向,Hyuga
文憲王（賀陽文憲）,Prince Fuminori (Fuminori KAYA)
毎日新聞,"Mainichi Newspaper Co., Ltd."
討伐の綸旨,Imperial Order of subjugation
中国の登龍門の故事,a gateway to success of Chinese historical events
背山臨水の地,"place where mountains are in the back, water is in front"
文化人類学,Cultural Anthropology
大宮渡し,Omiya Ferry
鍋島勝茂継室,Katsushige NABESHIMA's second wife
毛利高政,Takamasa MORI
トゥースワックス,tooth wax
五大力尊仁王会（ごだいりきそんにんのうえ）,Godairikisonninnoue
勧発品,Kanbotsuhon
西行はなし,Saigyo's tales
大慈大悲,great compassion and mercy
御息所,Miyasundokoro
塩焼王,Prince Shioyaki
日仏協会,the Franco-Japanese Society
少府監,Shofugen
伊豆国守,Governor of Izu Province
煕明親王,Imperial Prince Hiroaki
首楞厳経義海,Shuryogonkyo Gikai
米津田賢,Tadakata/Takata/Michikata YONEKITSU
散文,prose
交通の要衝,an important point for a traffic
称名院公条像,portrait of Shomyo-in Kineda
茶堂,sado
京都学生祭典,Kyoto Intercollegiate Festa
行法,gyoho
守護大名,Shugo daimyo
プラスチックのフィルム袋,filmy plastic bags
切妻造,kirizuma-zukuri style
飯塚祇園山笠,Izuka Gion Yamagasa Festival
光悦本,Koetsu-bon
聴鐸庵,"Chotaku-an, a bell listening hermitage"
警察官,police officer
こどもパトナ,Kodomo Patona (Kyoto Counceling Center for Children)
一党独裁,one-party dictatorship
曹洞宗永平寺,"Eihei-ji Temple, Soto Zen sect"
石川五右衛門,Goemon ISHIKAWA
源氏,Genji
園城寺勧学院,Kangakuin (place for study) of Onjo-ji Temple
同腹の兄,"older maternal half-brother, older half brother"
伏見松林院陵,Fushimi Shorinin no Misasagi (the Fushimi Shorinin Mausoleum)
